station,latitude,longitude
Nowy Dwór Mazowiecki,52.4252729,20.7240617
Modlin,52.4435541,20.7040813
Morąg,53.9190147,19.9224407
Morąg Kolonia,53.9098754,19.9457669
Żabi Róg,53.8764039,20.0176074
Kozia Góra,49.423756,20.3680018
Gamerki Wielkie,53.8449437,20.1385158
Wołowno,53.8172632,20.1981846
Godki,53.8204838,20.2480602
Jonkowo,53.8158491,20.2960504
Elbląg,54.1509826,19.4155509
Komorowo Żuławskie,54.1050027,19.5089879
Bogaczewo,54.1001205,19.5732271
Pasłęk,54.0555905,19.6564508
Nowa Wieś Cierpkie,54.0244943,19.6564458
Zielonka Pasłęcka,53.98088,19.7009758
Małdyty,53.921159,19.7356245
Dobrocin,53.9100343,19.8291421
Piła Główna,53.1429271,16.7445507
Kaczory,54.2080556,21.5883333
Miasteczko Krajeńskie,53.0926241,17.0202274
Białośliwie,53.0977578,17.124527
Krostkowo,53.1078012,17.2075201
Wyrzysk Osiek,53.1190261,17.2926539
Jadwiżyn,53.1239203,17.3718
Anieliny,53.1291227,17.486455
Nakło n/Notecią,53.1386896,17.5998891
Ślesin,53.1560955,17.7003131
Zielonczyn,53.1509902,17.8081558
Pawłówek,52.4352778,18.8436111
Bydgoszcz Osowa Góra,53.1478335,17.9131473
Bydgoszcz Zachód,53.1360746,17.9488566
Jabłonowo Pomorskie,53.3934417,19.1629343
Książki,53.3298313,19.0676631
Wąbrzeźno,53.2652639,18.9819141
Zieleń,53.2165007,18.9306772
Kowalewo Pomorskie,53.1638254,18.8691013
Rychnowo Wielkie,53.1423508,18.8138268
Kamionki Jezioro,53.1298617,18.7798205
Papowo Toruńskie,53.0671354,18.6924238
Ostrowite k/Jabłonowa,53.4340843,19.2684029
Lipinki,51.9575,22.6980556
Biskupiec Pomorski,53.4895178,19.3884568
Jamielnik,53.528709,19.500872
Iława Główna,53.5822318,19.5736739
Rudzienice Suskie,53.6382777,19.6679735
Pikus,53.6564698,19.7376385
Samborowo,53.6716016,19.820371
Ostróda,53.6995755,19.9508577
Lubajny,53.7000427,20.0268634
Stare Jabłonki,53.6911385,20.0934057
Biesal,53.720202,20.1942653
Unieszewo,53.7288063,20.2998124
Naterki,53.7463985,20.3764632
Czersk,53.8007219,17.970593
Będźmierowice,53.7879586,18.0428284
Szlachta,53.2735375,22.9888493
Śliwice,53.7131722,18.1821261
Lipowa Tucholska,53.7535893,18.1090425
Rosochatka,53.7054477,18.1146055
Zarośle,53.3546193,19.3569428
Małe Gacno,53.6098761,18.109487
Zielonka Pomorska,53.5775218,18.1092882
Wierzchucin,53.5481472,18.1128342
Błądzim,53.475901,18.1151063
Lipienica,53.4463692,18.1125203
Świekatowo,53.416662,18.1048841
Lubania-Lipiny,53.3884958,18.0969986
Serock,53.3610452,18.0897326
Wudzyn,53.3229113,18.0758222
Stronno,53.2857228,18.0592242
Maksymilianowo,53.2145607,18.0294586
Rynkowo Wiadukt,53.152055,18.0053934
Skierniewice,51.9672793,20.1502998
Rogów,50.5115672,17.9484691
Koluszki,51.7438515,19.8186183
Łódź Niciarniana,51.766759,19.507428
Łódź Fabryczna,51.7695637,19.4695992
Wierzchucin Stary,53.5571087,18.0911055
Cekcyn,53.576355,18.0275884
Tuchola,53.5835933,17.8606117
Tczew,54.0972478,18.7897812
Inowrocław,52.8051894,18.2439417
Gniezno,52.5296664,17.6032272
Poznań Główny,52.4016269,16.9115788
Zbąszynek,52.2426128,15.8181758
Świebodzin,52.2452509,15.5399619
Rzepin,52.3499173,14.8152866
Frankfurt/Oder,52.3557481,14.5662367
Tychy,50.1357681,18.9641781
Pszczyna,49.9755483,18.9534409
Zebrzydowice,49.8703282,18.6231281
Petrovice u Karvine,inf,inf
Brest Centralny,inf,inf
Terespol,52.0740891,23.6011753
Chojnice,53.6890673,17.5777493
Racławki,53.6682076,17.6539216
Silno,53.6443166,17.6931167
Piastoszyn,53.6209737,17.7298039
Żalno,53.5976719,17.7597697
Ełk Szyba Wschód,53.8011228,22.3728312
Lipińskie Małe,53.7363431,22.3975964
Prostki,53.6951398,22.4317785
Grajewo,53.650103,22.448183
Ruda,50.3137908,18.8529848
Podlasek,53.5579166,22.5350534
Osowiec,53.4711111,19.6958333
Goniądz,53.4593883,22.7263194
Mońki,53.4022547,22.7968231
Czechowizna,53.3511838,22.8368452
Zastocze,53.3123872,22.8574355
Knyszyn,53.2846326,22.8960757
Borsukówka,53.2273271,22.9309509
Dobrzyniewo Duże,53.1943888,23.0028314
Fasty,53.1767248,23.0250427
Białystok Bacieczki,53.1505228,23.0719921
Białystok Starosielce,53.1211871,23.0867818
Białystok,53.1336381,23.1353831
Poznań Strzeszyn,52.4607286,16.8655222
Złotniki,51.136052,16.8916809
Golęczewo,52.535146,16.8279845
Chludowo,52.5603266,16.8252994
Wargowo,52.5842677,16.822766
Oborniki Wielkopolskie Miasto,52.6448645,16.8200615
Oborniki Wielkopolskie,52.6574819,16.8294013
Rożnowo,52.678983,16.8714483
Parkowo,52.7081832,16.9150227
Rogoźno Wielkopolskie,52.7546243,16.9718117
Tarnowo Rogozińskie,52.8032354,16.9753756
Sokołowo Budzyńskie,52.8377563,16.9693932
Budzyń,52.8909489,16.9835951
Ostrówki k/Chodzieży,52.9340659,16.9262693
Chodzież,52.9939332,16.9095423
Milcz,53.0424236,16.8568339
Dziembówko,53.0707704,16.8152757
Piła Kalina,53.1014068,16.7878334
Skarżysko-Kamienna,51.1162307,20.8820924
Skarżysko Zachodnie,51.1004358,20.8595709
Suchedniów Północny,51.0652814,20.8491495
Suchedniów,51.0459574,20.8498258
Berezów,51.0239056,20.8364329
Łączna,52.7761481,15.3957238
Zagnańsk,50.9744474,20.6634975
Tumlin,50.9674921,20.6021805
Kostomłoty,50.9216727,20.6155497
Kielce Piaski,50.8894462,20.6251832
Kielce,50.8745075,20.6181629
Kielce Herbskie,50.8858958,20.6025373
Kielce Ślichowice,50.8888087,20.5838753
Górki Szczukowskie,50.8832288,20.5257594
Piekoszów,50.8709464,20.4464148
Rykoszyn,50.8681394,20.3788417
Wierna Rzeka,50.8641401,20.312838
Małogoszcz,50.8502132,20.272798
